"ITEM","UBICACIÓN","SARDINEL (ml)","NIVELACION GRASS BLOCK (m2)","GRASS BLOCK (m2)","ADOQUIN VEREDA (m2)","NIVELACION ADOQUIN (m2)","BERMA (m2)","RAMPA (m2)","RAMPA DE INGRESO PEATONAL (m2)","RAMPA VEHICULAR (m2)","CONCRETO DE VEREDA (m2)","CONCRETO EN PISTAS(m2)","ADOQUIN PISTA (m2)","ASFALTO (m2)","EMPEDRADO (ml)","FISURA (ml)","GEOTEXTIL GEOMALLA (m2)","BANCA (Und)","BOLARDO (Und)","TACHO (Und)","MALLA (ml)"
"01","Ca. Francisco de Paula y Ugarriza","39.50","-","-","-","-","8.28","-","2.20","-","11.80","-","-","1,767.79","-","1.50","1,180.00","-","-","-","-"
"02","Av. Vasco Núñez de Balboa","77.00","-","-","13.00","-","69.00","-","-","-","9.00","-","-","6,063.48","-","-","4,036.00","-","4.00","-","-"
"03","Ca. Irribarren","-","-","-","-","-","-","-","-","-","-","-","-","1,364.37","-","75.00","904.00","-","-","-","-"
"04","Ca. Los Ángeles","168.40","-","-","-","-","199.70","16.85","-","-","-","184.60","-","1,681.26","-","-","792.00","-","-","-","-"
"05","Av. Federico Villarreal","204.28","-","-","9.70","-","134.72","5.04","-","2.80","30.54","323.65","-","2,999.20","-","400.00","880.00","-","-","-","-"
"06","Av. Jorge Chávez","68.00","-","1.20","-","-","39.90","-","-","4.20","15.50","21.00","-","4,488.50","-","-","3,600.00","-","-","-","-"
"07","Av. Emilio Cavenecia","-","-","-","-","-","-","-","-","-","-","-","-","626.30","-","-","-","-","-","-","-"
"08","Ca. Joaquín Capello","54.10","-","10.40","-","-","-","104.51","-","87.50","51.39","11.90","-","2,477.02","-","-","-","-","-","-","-"
"09","Ca. José de la Torre Ugarte","79.50","-","-","2.16","-","-","25.22","-","38.30","70.50","-","-","2,429.36","-","-","-","-","-","-","-"
"10","Ca. Santa Isabel","-","-","-","-","-","17.60","-","-","-","34.00","18.30","-","1,483.83","-","-","992.00","-","-","-","-"
"11","Av. José Pardo","27.20","-","-","-","1.44","93.55","17.82","-","-","11.20","-","-","915.47","-","-","-","5.00","-","-","-"
"12","Ca. General Borgoño","3.20","-","-","-","-","30.00","-","-","-","61.00","42.16","-","2,173.63","-","-","2,276.00","-","-","-","-"
"13","Av. Santa María","34.00","-","-","12.00","-","33.60","-","10.50","-","92.00","11.50","-","1,643.96","-","-","1,200.00","-","-","-","-"
"14","Av. Comandante Espinar","1.20","-","-","-","-","-","-","-","-","-","-","-","10,900.95","-","-","-","-","-","-","-"
"15","Av. Armendáriz","0.60","-","-","-","-","-","-","4.76","-","-","-","-","2,883.97","-","16.00","-","-","-","-","-"
"16","Av. Reducto","10.50","-","-","-","-","44.00","-","3.00","-","2.40","9.00","-","3,211.63","217.00","175.00","-","-","-","-","-"
