"ITEM","UBICACIÓN","SARDINEL (ml)","NIVELACION GRASS BLOCK (m2)","GRASS BLOCK (m2)","ADOQUIN VEREDA (m2)","NIVELACION ADOQUIN (m2)","BERMA (m2)","RAMPA (m2)","RAMPA DE INGRESO PEATONAL (m2)","RAMPA VEHICULAR (m2)","CONCRETO DE VEREDA (m2)","CONCRETO EN PISTAS(m2)","ADOQUIN PISTA (m2)","ASFALTO (m2)","EMPEDRADO (ml)","FISURA (ml)","GEOTEXTIL GEOMALLA (m2)","BANCA (Und)","BOLARDO (Und)","TACHO (Und)","MALLA (ml)"
"01","Almacén de playa","-","-","-","-","-","-","-","-","-","5.04","-","-","-","-","-","-","-","-","-","215.00"
"02","Angamos Oeste","-","-","-","-","-","-","-","-","-","","-","-","72.00","-","-","-","-","-","-","-"
"03","Av. 28 de Julio","146.70","","","13.50","","596.80","","","8.05","48.50","","","57.40","22.00","","","","","",""
"04","Av. Alcanfores","-","-","5.00","-","-","37.00","-","1.80","-","1.00","-","-","-","-","-","-","-","-","-","-"
"05","Av. Andrés A.Cáceres","147.00","-","-","-","-","-","-","1.20","-","15.00","-","-","-","-","-","-","-","-","-","-"
"06","Av. Angamos Oeste","118.00","","","","1.30","537.93","23.00","","","7.80","","","903.00","","","","","6.00","",""
"07","Av. Aramburú","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08","Av. Arequipa","-","-","-","1.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09","Av. Benavides","5.50","-","-","-","1.00","36.00","-","-","-","39.04","-","-","530.80","10.00","-","-","-","-","-","-"
"10","Av. Casimiro Ulloa","-","-","-","-","-","-","-","-","-","35.35","-","-","20.52","-","-","-","-","-","-","-"
"11","Av. De la Aviación","53.30","","","","","10.00","","","","178.64","","","46.20","","","","","","",""
"12","Av. Del Ejército","-","-","-","-","-","-","55.21","-","-","-","-","-","195.00","-","-","-","-","-","-","-"
"13","Av. Diagonal","6.70","-","-","0.80","30.32","-","-","-","-","-","-","-","45.00","-","-","-","-","-","-","-"
"14","Av. Ernesto Diez Canseco","-","-","-","21.80","10.00","-","-","-","-","6.00","-","-","-","-","-","-","-","8.00","-","-"
"15","Av. Ernesto Montagne","31.00","-","-","-","-","143.00","4.80","-","-","83.50","-","-","346.00","-","37.50","-","-","-","-","-"
"16","Av. General  Mendiburú","","","","","1.20","","18.85","","","","","","10.90","","","","","","",""
"17","Av. General Córdova","8.30","-","-","-","-","163.00","","-","-","24.90","-","-","55.72","-","-","-","-","-","-","-"
"18","Av. General Mendiburú","-","-","-","-","-","","11.70","-","-","","-","-","-","-","-","-","-","-","-","-"
"19","Av. Grau","6.00","-","-","-","-","75.90","-","-","-","18.25","-","-","-","-","-","-","-","-","-","-"
"20","Av. José A. Larco","2.00","","","67.00","60.45","","","","","","","","21.15","","","","3.00","18.00","14.00",""
"21","Av. José La Mar","1.00","-","-","12.36","-","-","77.20","-","1.40","-","-","-","-","-","-","-","-","-","-","-"
"22","Av. La Paz","","","","","3.65","15.00","","","12.00","15.00","","","58.84","","","","4.00","16.00","",""
"23","Av. Malecón 28 deJulio","-","-","-","-","-","-","-","-","-","1.36","-","-","251.56","-","-","-","-","-","-","-"
"24","Av. Malecón Armendáriz","8.00","-","-","-","-","-","18.90","-","-","-","226.05","-","-","-","-","-","-","-","-","-"
"25","Av. Malecón Balta","165.20","-","-","64.90","-","-","-","3.36","13.20","1.50","1.00","-","286.50","-","160.00","-","2.00","-","-","-"
"26","Av. Malecón Cisneros","","","","","","2.00","","","6.00","82.00","","","69.38","","","","2.00","3.00","",""
"27","Av. Malecón de la Marina","515.25","-","-","-","-","309.00","16.20","2.00","48.95","112.30","-","-","26.00","-","-","-","-","2.00","-","-"
"28","Av. Malecón de la Reserva","170.00","","","","","1.80","2.04","","1.50","40.60","101.64","","118.90","7.00","","","","","",""
"29","Av. Manuel Villarán","-","-","-","1.80","-","-","-","-","-","-","-","-","253.15","-","-","-","-","-","-","-"
"30","Av. Paseo de la República","26.00","-","-","-","-","-","-","7.36","-","-","-","-","7.32","-","-","-","-","-","-","-"
"31","Av. Petit thouars","6.80","-","-","-","-","-","-","-","-","8.00","-","-","19.00","-","-","-","-","-","-","-"
"32","Av. Ramírez Gastón","-","-","-","-","-","13.25","-","-","-","18.00","-","-","75.00","-","-","-","-","-","-","-"
"33","Av. Ramón Castilla","13.00","-","-","-","-","","-","-","-","0.60","-","-","-","-","-","-","-","-","-","-"
"34","Av. Ramón Ribeyro","","","","","","","","","","13.00","","","","","","","","","",""
"35","Av. República de Panamá","4.00","-","-","-","1.68","26.50","-","-","-","16.00","-","-","56.16","-","-","-","-","-","-","-"
"36","Av. Ricardo Palma","122.00","","11.80","19.88","","203.91","60.78","5.40","2.40","42.80","","","690.80","","","","6.00","6.00","",""
"37","Av. Roca y Boloña","49.70","-","-","-","-","50.60","-","-","-","18.00","-","-","56.68","-","104.00","-","-","-","-","-"
"38","Av. Roosevelt","-","-","-","-","-","70.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"39","Av. Santa Cruz","-","-","-","-","-","-","19.20","-","-","-","-","-","591.24","-","-","-","-","-","-","-"
"40","Av. Tomás Marsano","-","-","-","-","-","-","6.63","-","-","-","-","-","-","-","-","-","-","-","-","-"
"41","Bajada Balta","-","-","-","-","-","-","-","-","-","-","-","-","8.00","-","-","-","-","-","-","-"
"42","Base Luna","-","-","-","-","-","-","-","-","-","32.00","-","-","-","-","-","-","-","-","-","-"
"43","Ca Odría","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.00","-","-"
"44","Ca. 02 de Mayo","24.40","-","-","-","-","-","31.87","-","-","-","3.06","-","28.00","-","-","-","-","-","-","-"
"45","Ca. 08 de Octubre","6.20","8.00","8.00","11.20","-","-","-","-","-","15.84","-","-","36.40","-","-","-","-","-","-","-"
"46","Ca. 15 de Enero","","","","","","","","","","30.00","","","","","","","","","",""
"47","Ca. 27 de Noviembre","-","-","-","-","-","-","15.12","-","-","-","-","-","-","-","-","-","-","-","-","-"
"48","Ca. Alejandro Deustua","-","-","-","-","-","-","-","-","-","-","-","-","26.28","-","-","-","-","-","-","-"
"49","Ca. Alfredo Salazar","1.80","-","-","4.44","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"50","Ca. Andalucía","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"51","Ca. Arce de Oliva","8.00","-","-","-","-","40.42","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"52","Ca. Arenales","-","-","-","-","-","-","-","-","-","-","-","-","8.20","-","-","-","-","-","-","-"
"53","Ca. Arias Aragüez","","","","","","27.20","","","","27.50","","","","","","","","","",""
"54","Ca. Arias Schereiber","-","-","-","-","-","-","-","-","-","5.00","-","-","-","-","-","-","-","-","-","-"
"55","Ca. Arica","-","-","-","-","-","-","-","-","-","","-","-","12.84","-","-","-","-","-","-","-"
"56","Ca. Arístides Aljovín","31.00","-","-","-","-","20.70","3.00","-","-","7.00","-","-","-","-","-","-","-","-","-","-"
"57","Ca. Atahualpa","-","-","-","-","-","58.00","3.60","-","-","65.00","-","-","1.44","-","-","-","-","6.00","-","-"
"58","Ca. Augusto Gutiérrez","-","-","-","-","-","15.00","-","-","-","6.00","-","-","237.90","33.60","-","-","-","-","-","-"
"59","Ca. Augusto Olaechea","11.00","-","-","-","-","22.00","-","-","-","7.00","-","-","-","-","-","-","-","-","-","-"
"60","Ca. Barreto","-","-","-","-","-","-","-","-","-","-","-","-","3.60","-","-","-","-","-","-","-"
"61","Ca. Bartolomé Herrera","-","-","-","-","-","-","-","-","-","-","-","-","37.32","-","-","-","-","-","-","-"
"62","Ca. Bartolomé Trujillo","4.00","-","-","-","-","10.00","-","3.00","","24.00","7.50","-","-","-","-","-","-","-","-","-"
"63","Ca. Bellavista","-","-","-","-","0.48","-","-","-","-","-","","-","-","-","-","-","-","-","-","-"
"64","Ca. Berlín","77.50","-","-","-","-","-","-","-","-","-","12.00","-","39.49","-","-","-","-","-","-","-"
"65","Ca. Bernardo Alcedo","2.70","-","-","2.36","-","-","19.08","-","-","-","-","-","-","-","-","-","-","-","-","-"
"66","Ca. Bolognesi","-","-","-","-","-","-","-","-","-","-","-","-","18.30","-","3.60","-","-","-","1.00","-"
"67","Ca. Buenos Aires","-","-","-","-","-","-","-","-","-","16.20","-","-","36.20","-","-","-","-","","-","-"
"69","Ca. Cantuarias","9.00","","","","","","","","","","","","","","","","4.00","9.00","",""
"70","Ca. Capitán Gutiérrez","10.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"71","Ca. Capulíes","","","","","","","","4.40","","","","","","","","","","","",""
"72","Ca. Carlos García Bedoya","-","-","-","-","-","-","-","-","-","20.88","-","-","-","-","-","-","-","-","-","-"
"73","Ca. Carlos Tenaud","-","-","-","-","-","-","-","-","-","-","84.80","-","-","-","-","-","-","-","-","-"
"74","Ca. Castro Iglesias","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"75","Ca. Chacaltana","50.30","-","-","-","-","275.10","-","-","-","5.20","-","-","-","-","-","-","-","-","-","-"
"76","Ca. Chiclayo","-","-","-","-","-","80.00","-","-","-","30.35","-","-","4.00","-","-","-","-","-","-","-"
"77","Ca. Choquehuanca","-","-","-","-","-","-","-","-","-","16.80","-","-","47.08","-","-","-","-","-","-","-"
"78","Ca. Colón","-","-","-","-","-","-","-","-","-","-","-","-","82.00","-","-","-","-","-","-","-"
"79","Ca. Comandante Juan Moore","-","-","-","-","-","-","5.22","-","-","-","-","-","-","-","-","-","-","-","-","-"
"80","Ca. Contralmirante Villar","15.00","-","-","-","-","12.00","26.16","-","-","-","8.50","-","-","-","-","-","-","-","-","-"
"81","Ca. Coronel Inclán","2.00","-","-","-","-","20.25","-","1.80","7.50","36.50","-","-","3.06","-","-","-","-","-","-","-"
"82","Ca. Daniel A. Carrión","-","-","-","-","-","11.00","-","-","-","2.00","-","-","-","-","-","-","-","-","-","-"
"83","Ca. Diego Ferrer","-","-","-","-","-","-","3.68","-","-","28.00","-","-","38.00","-","-","-","-","-","-","-"
"84","Ca. Domingo Orué","-","-","-","-","-","-","-","-","-","-","-","-","120.00","-","-","-","-","-","-","-"
"85","Ca. Elías Aguirre","4.00","-","-","-","-","-","-","-","-","-","-","-","23.46","-","-","-","-","-","-","-"
"86","Ca. Enrique del Campo","10.00","-","-","-","-","-","-","8.00","-","31.00","-","-","-","-","-","-","-","-","-","-"
"87","Ca. Enrique Palacios","-","-","-","-","-","-","1.92","-","-","-","-","-","93.61","-","-","-","-","-","-","-"
"88","Ca. Erick Díaz Cabré","47.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"89","Ca. Esperanza","-","-","-","-","-","14.95","-","-","-","-","-","-","-","-","-","-","-","42.00","-","-"
"90","Ca. Fernández Concha","32.50","","","","","120.00","","3.00","","42.50","","","","","","","","","",""
"91","Ca. Flavio Gerbolini","-","-","-","-","-","","-","-","-","7.50","-","-","-","-","-","-","-","-","-","-"
"92","Ca. Francisco Quiñones","7.00","-","-","-","-","6.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"93","Ca. García Bedoya","","","","","","24.00","","","","","","","","","","","","","",""
"94","Ca. García Calderón","-","-","-","-","-","-","-","-","-","-","-","-","9.00","-","-","-","-","-","-","-"
"95","Ca. General Iglesias","-","-","-","-","-","-","-","-","1.05","4.00","-","-","8.76","-","-","-","-","-","-","-"
"96","Ca. General Silva","-","-","-","-","-","7.00","-","-","-","8.00","-","-","-","-","-","-","-","-","-","-"
"97","Ca. General Suarez","25.00","","","","","18.00","","","","10.50","","","47.60","","","","","1.00","",""
"98","Ca. General Varela","51.00","-","-","-","-","-","41.46","-","-","120.90","62.90","-","-","-","-","-","-","-","-","-"
"99","Ca. General Vargas Machuca","29.00","-","-","-","-","53.10","","3.45","5.75","37.00","15.25","-","-","10.00","-","-","-","-","-","-"
"100","Ca. General Vidal","-","-","-","-","-","-","-","-","-","-","-","-","5.76","-","-","-","-","-","-","-"
