"CODIGO","GIRO","NOMBRE O RAZON SOCIAL","UBICACION","NRO","LETRA","INTERIOR","NOMBRE COMERCIAL","FEC. INICIO"
"1","ACADEMIA DE ARTES Y OFICIOS","GLADIUS S.A.C.","AV. ALFREDO BENAVIDES","250","","303","","8/15/14"
"2","ACADEMIA DE BAILE, MUSICA, DANZAS FOLKLORICAS, BALLET Y OTRO","PALACIO ELECTRONICO S.A.","AV. ALFREDO BENAVIDES","347","","TD-44","","1/6/10"
"3","ACADEMIA DE ENSEÑANZA VARIADOS","PALACIO ELECTRONICO S.A.","AV. ALFREDO BENAVIDES","347","","TD46","","1/4/01"
"4","ACADEMIA DE ARTES Y OFICIOS","OKM PERU SAC.","AV. ALFREDO BENAVIDES","347","","TD59","","6/26/14"
"5","ACADEMIA DE ENSEÑANZA VARIADOS","CEOGNE IPAD INST. PERUANO DE ARTE Y","AV. ALFREDO BENAVIDES","477","","S202","","8/23/00"
"6","ACADEMIA DE ARTES Y OFICIOS","SARIC BALOH ANA MARIA","AV. ALFREDO BENAVIDES","540","","101","","5/3/05"
"7","INSTITUTO SUPERIOR TECNOLOGICO","DU CONDOR S.A.","AV. ALFREDO BENAVIDES","750","","","","6/28/11"
"8","INSTITUTO SUPERIOR TECNOLOGICO","INSTITUTO SUPERIOR SAN IGNACIO DE L","AV. ALFREDO BENAVIDES","778","","","","8/14/13"
"9","ACADEMIA DE ARTES Y OFICIOS","AUGUSTIN BURNEO URSULA PATRICIA","AV. ALFREDO BENAVIDES","1249","","","STUDIO ATICO","8/15/13"
"10","CENTRO DE IDIOMAS","UNIVERSIDAD DEL PACIFICO","AV. ALFREDO BENAVIDES","1657","","","CENTRO DE IDIOMAS DE LA UNIVERSIDAD DEL","10/28/14"
"11","ENSEÑANZA PRIMARIA Y/O SECUNDARIA","COLEG.NUESTRA SEÑORA DEL CARMEN","AV. ALFREDO BENAVIDES","1665","","","","7/23/02"
"12","SERVICIOS EDUCATIVOS","CENTRO EDUCATIVO NO ESTATAL SAN FEL","AV. ALFREDO BENAVIDES","1992","","1996","","4/4/14"
"13","ENSEÑANZA PRE-ESCOLAR Y/O NIDOS","LINARES CERDAN ROCIO DEL PILAR","AV. ALFREDO BENAVIDES","2872","","","","5/2/14"
"14","ACADEMIA DE ARTES Y OFICIOS","ARCADE S.A.","AV. ALFREDO BENAVIDES","3030","","","ARCADE","5/7/14"
"15","ACADEMIA DE ARTES Y OFICIOS","LIMA YOGASHALA S.A.C.","AV. ALFREDO BENAVIDES","3030","","","LIMA YOGASHALA S.A.C","11/30/11"
"16","ENSEÑANZA PRIMARIA Y/O SECUNDARIA","C.E.P.ALEXANDER VON HUMBOLDT","AV. ALFREDO BENAVIDES","3081","","","","1/19/93"
"17","INSTITUTO SUPERIOR TECNOLOGICO","INSTITUTO CULTURAL PERUANO NORTEAME","AV. ANGAMOS OESTE","160","","","","11/16/99"
"18","SERVICIOS EDUCATIVOS","CENTRO EDUC.INICIAL N-6 MIRAFLORES","AV. ANGAMOS OESTE","443","","","","9/1/99"
"19","SERVICIOS EDUCATIVOS","LANGROW E.I.R.L.","AV. ANGAMOS OESTE","663","","","","2/24/03"
"20","ACADEMIA DE ARTES Y OFICIOS","CIHOPERU CENTRO INTERNACIONAL HOLIS","AV. ANGAMOS OESTE","757","","302","CIHOPERU","9/23/10"
"21","ENSEÑANZA PRIMARIA Y/O SECUNDARIA","CEP INMACULADO CORAZON DE MARIA","AV. ANGAMOS OESTE","950","","","","1/6/90"
"22","SERVICIOS EDUCATIVOS","NIDO MONTEFLOR S.R.L.","AV. ANGAMOS OESTE","1011","","","","5/31/05"
"23","ENSEÑANZA PRE-ESCOLAR Y/O NIDOS","NIDAK S.A.C.","AV. ANGAMOS OESTE","1529","","","","3/3/14"
"24","SERVICIOS EDUCATIVOS","CORITEC S.A.C.","AV. AREQUIPA","4195","","","","12/31/03"
"25","SERVICIOS EDUCATIVOS","CEPREVI UNIVERS.FEDERICO VILLARREAL","AV. AREQUIPA","4496","","","","12/18/02"
"26","ACADEMIA DE ENSEÑANZA VARIADOS","ECHEVARRIA VILLANUEVA EBERTH AUDBER","AV. AREQUIPA","4821","","","","12/31/03"
"27","COLEGIO PROFESIONAL","COLEGIO DE INGENIEROS DEL PERU","AV. AREQUIPA","4947","","","","1/26/93"
"28","ENSEÑANZA PRIMARIA Y/O SECUNDARIA","PRONOEGNE SAN IGNACIO DE LOYOLA","AV. AREQUIPA","5133","","","","3/17/98"
"29","SERVICIOS EDUCATIVOS","ASOCIACION NACIONAL SCOUTS DEL PERU","AV. AREQUIPA","5140","","","GEO INSTRUMENTS INTERNATIONAL S.A.C.","1/1/93"
"30","SERVICIOS EDUCATIVOS","TRABAJOS EDUCATIVOS DE VANGUARDIA","AV. AREQUIPA","5181","","","","10/12/99"
"31","UNIVERSIDAD","UNIVERSIDAD RICARDO PALMA","AV. AREQUIPA","5198","","","","10/3/91"
"32","UNIVERSIDAD","UNIVERSIDAD RICARDO PALMA","AV. ARMENDARIZ","349","","","","1/9/91"
"33","UNIVERSIDAD","UNIVERSIDAD PERUANA CAYETANO HEREDI","AV. ARMENDARIZ","445","","","","3/31/07"
"34","UNIVERSIDAD","UNIVERSIDAD PERUANA CAYETANO HEREDI","AV. ARMENDARIZ","497","","","","10/21/92"
"35","ENSEÑANZA PRE-ESCOLAR Y/O NIDOS","DA SILVA MC EVOY INGRID MIRYAM","AV. TOMAS MARSANO","2154","","","I.E.P. NUESTRA SEÑORA DE LA PAZ","12/3/09"
"36","ACADEMIA DE ARTES Y OFICIOS","SERVICIOS HOTELEROS E.I.R.L.","AV. COMANDANTE ESPINAR","523","","","","8/12/13"
"37","SERVICIOS EDUCATIVOS","C.E.P.ADVENTISTA MIRAFLORES","AV. COMANDANTE ESPINAR","730","","/750","","12/30/01"
"38","SERVICIOS EDUCATIVOS","ASOCIACION EDUCATIVA ADVENTISTA CEN","AV. COMANDANTE ESPINAR","780","","","","8/28/02"
"39","ENSEÑANZA PRIMARIA Y/O SECUNDARIA","ASOCIACION PROMOCION CATOLICA","AV. DE LA AVIACION","374","","","","12/11/95"
"40","SERVICIOS EDUCATIVOS","ASOCIACION PROMOCION CATOLICA","AV. DE LA AVIACION","445","","","","5/18/93"
"41","ACADEMIA DE ARTES Y OFICIOS","PIAMANTHANI SOCIEDAD ANONIMA CERRAD","AV. DEL EJERCITO","132","","","PIAMANTHANI S.A.C.","12/19/11"
"42","ACADEMIA DE ARTES Y OFICIOS","INSTITUTO DE COCINA, ARTES Y CULINA","AV. DEL EJERCITO","437","","","I.C.A.C. PARMENTIER","9/16/10"
"43","ACADEMIA DE BAILE, MUSICA, DANZAS FOLKLORICAS, BALLET Y OTRO","TALLER ARTISTICO Y PRODUCTORA DE EV","AV. DEL EJERCITO","625","","","EL NUEVO TUNANTE","8/16/10"
"44","ENSEÑANZA PRE-ESCOLAR Y/O NIDOS","C.E.I.P. JUAN PABLO II","AV. ERNESTO DIEZ CANSECO","644","","","","3/26/09"
"45","INSTITUTO DEL VINO (UNIVERSIDAD)","UNIVERSIDAD DE SAN MARTIN DE PORRES","AV. GENERAL CORDOVA","230","","","","12/30/05"
"46","ACADEMIA DE ARTES Y OFICIOS","DECO DULCES PERU E.I.R.L.","AV. JORGE CHAVEZ","125","","102","","7/14/14"
"47","SERVICIOS EDUCATIVOS","CELAAP JESHUA EDUC.ESPECIAL","AV. JORGE CHAVEZ","565","","","","3/21/97"
"48","ACADEMIA DE ARTES Y OFICIOS","SOTOMAYOR ARRIOLA ERIKA ROSARIO","AV. JOSE A. LARCO","675","","4-A","","10/16/10"
"49","INSTITUTO SUPERIOR TECNOLOGICO","I.S.T.PRIVADO PERUANO DE SISTEMAS -","AV. JOSE A. LARCO","752","","/756","","3/10/03"
