idtipovia|nombretipo
201|lane
204|opposite
203|opposite_lane
202|track
120|bridleway
116|bus_guideway
121|byway
118|cycleway
119|footway
111|living_street
101|motorway
103|motorway_junction
102|motorway_link
117|path
114|pedestrian
106|primary
107|primary_link
110|residential
100|road
108|secondary
124|secondary_link
112|service
115|services
122|steps
109|tertiary
125|tertiary_link
113|track
104|trunk
105|trunk_link
123|unclassified
401|roundabout
301|grade1
302|grade2
303|grade3
304|grade4
305|grade5
