idnodo|longitud|latitud|geom
1200|-77.0129639|-12.1271286|SRID=4326;POINT(-77.0129639 -12.1271286)
1175|-77.024403|-12.1249158|SRID=4326;POINT(-77.024403 -12.1249158)
1183|-77.0136451|-12.127016|SRID=4326;POINT(-77.0136451 -12.127016)
1256|-77.0153011|-12.1204421|SRID=4326;POINT(-77.0153011 -12.1204421)
1144|-77.0281929|-12.1190461|SRID=4326;POINT(-77.0281929 -12.1190461)
1162|-77.0552632|-12.1108718|SRID=4326;POINT(-77.0552632 -12.1108718)
1218|-77.0299433|-12.1137042|SRID=4326;POINT(-77.0299433 -12.1137042)
1145|-77.0335215|-12.1179616|SRID=4326;POINT(-77.0335215 -12.1179616)
344|-77.0323877|-12.1106273|SRID=4326;POINT(-77.0323877 -12.1106273)
345|-77.03246|-12.1095374|SRID=4326;POINT(-77.03246 -12.1095374)
346|-77.0191118|-12.1312405|SRID=4326;POINT(-77.0191118 -12.1312405)
347|-77.0194894|-12.1304937|SRID=4326;POINT(-77.0194894 -12.1304937)
340|-77.0324052|-12.1138724|SRID=4326;POINT(-77.0324052 -12.1138724)
341|-77.0324065|-12.1137941|SRID=4326;POINT(-77.0324065 -12.1137941)
342|-77.0324079|-12.1125977|SRID=4326;POINT(-77.0324079 -12.1125977)
343|-77.0323941|-12.1116456|SRID=4326;POINT(-77.0323941 -12.1116456)
810|-77.0119865|-12.1187222|SRID=4326;POINT(-77.0119865 -12.1187222)
811|-77.0112241|-12.1183861|SRID=4326;POINT(-77.0112241 -12.1183861)
812|-77.0104598|-12.1178736|SRID=4326;POINT(-77.0104598 -12.1178736)
813|-77.0098841|-12.1175041|SRID=4326;POINT(-77.0098841 -12.1175041)
348|-77.0195323|-12.1304266|SRID=4326;POINT(-77.0195323 -12.1304266)
349|-77.0198179|-12.129899|SRID=4326;POINT(-77.0198179 -12.129899)
816|-77.0114934|-12.1172018|SRID=4326;POINT(-77.0114934 -12.1172018)
817|-77.0118593|-12.1174463|SRID=4326;POINT(-77.0118593 -12.1174463)
595|-77.0478084|-12.1139318|SRID=4326;POINT(-77.0478084 -12.1139318)
1149|-77.0368446|-12.1140302|SRID=4326;POINT(-77.0368446 -12.1140302)
719|-77.0190517|-12.1206588|SRID=4326;POINT(-77.0190517 -12.1206588)
718|-77.0191204|-12.1198532|SRID=4326;POINT(-77.0191204 -12.1198532)
717|-77.0199701|-12.1202979|SRID=4326;POINT(-77.0199701 -12.1202979)
716|-77.0128405|-12.1202581|SRID=4326;POINT(-77.0128405 -12.1202581)
715|-77.0116181|-12.1195015|SRID=4326;POINT(-77.0116181 -12.1195015)
714|-77.0100521|-12.118483|SRID=4326;POINT(-77.0100521 -12.118483)
713|-77.0088943|-12.1177237|SRID=4326;POINT(-77.0088943 -12.1177237)
712|-77.0088144|-12.1176834|SRID=4326;POINT(-77.0088144 -12.1176834)
711|-77.0203276|-12.1224356|SRID=4326;POINT(-77.0203276 -12.1224356)
710|-77.0209829|-12.1233189|SRID=4326;POINT(-77.0209829 -12.1233189)
915|-77.0074521|-12.1241015|SRID=4326;POINT(-77.0074521 -12.1241015)
914|-77.0071259|-12.1245966|SRID=4326;POINT(-77.0071259 -12.1245966)
606|-77.0486187|-12.1129841|SRID=4326;POINT(-77.0486187 -12.1129841)
917|-77.0046798|-12.1263168|SRID=4326;POINT(-77.0046798 -12.1263168)
594|-77.0463971|-12.1125579|SRID=4326;POINT(-77.0463971 -12.1125579)
736|-77.0189694|-12.1256457|SRID=4326;POINT(-77.0189694 -12.1256457)
916|-77.0077812|-12.1235475|SRID=4326;POINT(-77.0077812 -12.1235475)
1182|-77.0136691|-12.1271211|SRID=4326;POINT(-77.0136691 -12.1271211)
1061|-77.0290395|-12.1063275|SRID=4326;POINT(-77.0290395 -12.1063275)
911|-77.0059329|-12.1264092|SRID=4326;POINT(-77.0059329 -12.1264092)
1063|-77.0300851|-12.1054405|SRID=4326;POINT(-77.0300851 -12.1054405)
1062|-77.0275576|-12.1060945|SRID=4326;POINT(-77.0275576 -12.1060945)
1065|-77.0015307|-12.1283296|SRID=4326;POINT(-77.0015307 -12.1283296)
1064|-77.0292079|-12.1053087|SRID=4326;POINT(-77.0292079 -12.1053087)
619|-77.0405272|-12.1134724|SRID=4326;POINT(-77.0405272 -12.1134724)
910|-77.0056496|-12.1268287|SRID=4326;POINT(-77.0056496 -12.1268287)
913|-77.0066367|-12.1253183|SRID=4326;POINT(-77.0066367 -12.1253183)
298|-77.0390227|-12.1212302|SRID=4326;POINT(-77.0390227 -12.1212302)
299|-77.0379919|-12.1212216|SRID=4326;POINT(-77.0379919 -12.1212216)
296|-77.04079|-12.12123|SRID=4326;POINT(-77.04079 -12.12123)
297|-77.0405134|-12.1212342|SRID=4326;POINT(-77.0405134 -12.1212342)
294|-77.0422617|-12.1211554|SRID=4326;POINT(-77.0422617 -12.1211554)
295|-77.041643|-12.1211853|SRID=4326;POINT(-77.041643 -12.1211853)
292|-77.0400877|-12.1201087|SRID=4326;POINT(-77.0400877 -12.1201087)
293|-77.0401005|-12.1193274|SRID=4326;POINT(-77.0401005 -12.1193274)
290|-77.0400941|-12.1216711|SRID=4326;POINT(-77.0400941 -12.1216711)
291|-77.0400674|-12.1212205|SRID=4326;POINT(-77.0400674 -12.1212205)
591|-77.0483363|-12.1131495|SRID=4326;POINT(-77.0483363 -12.1131495)
590|-77.0443226|-12.1133698|SRID=4326;POINT(-77.0443226 -12.1133698)
593|-77.0457115|-12.1119365|SRID=4326;POINT(-77.0457115 -12.1119365)
592|-77.0470001|-12.113172|SRID=4326;POINT(-77.0470001 -12.113172)
199|-77.0276868|-12.1363452|SRID=4326;POINT(-77.0276868 -12.1363452)
198|-77.0275331|-12.1347704|SRID=4326;POINT(-77.0275331 -12.1347704)
597|-77.0476966|-12.1152473|SRID=4326;POINT(-77.0476966 -12.1152473)
596|-77.0484495|-12.1145093|SRID=4326;POINT(-77.0484495 -12.1145093)
195|-77.0273917|-12.116856|SRID=4326;POINT(-77.0273917 -12.116856)
194|-77.0266906|-12.1166894|SRID=4326;POINT(-77.0266906 -12.1166894)
197|-77.0282715|-12.1338638|SRID=4326;POINT(-77.0282715 -12.1338638)
196|-77.0285148|-12.1337417|SRID=4326;POINT(-77.0285148 -12.1337417)
191|-77.0398536|-12.1192422|SRID=4326;POINT(-77.0398536 -12.1192422)
190|-77.0370205|-12.1140143|SRID=4326;POINT(-77.0370205 -12.1140143)
193|-77.0264307|-12.1166678|SRID=4326;POINT(-77.0264307 -12.1166678)
192|-77.0390152|-12.1201145|SRID=4326;POINT(-77.0390152 -12.1201145)
