idarista|idnodoorigen|idnododestino|idvia|distancia|geom
2348|1|2|337|0.198042152197|SRID=4326;LINESTRING(-77.0091367 -12.1198624,-77.0101385 -12.1205261)
1|3|4|49|0.142626804789|SRID=4326;LINESTRING(-77.0426634 -12.1186727,-77.0423 -12.1178951)
3|5|6|239|0.114826695791|SRID=4326;LINESTRING(-77.0298811 -12.131491,-77.0298903 -12.1313859,-77.0298362 -12.1308035)
4|6|7|239|0.108579427929|SRID=4326;LINESTRING(-77.0298362 -12.1308035,-77.0297892 -12.1301537)
5|7|8|239|0.058799081293|SRID=4326;LINESTRING(-77.0297892 -12.1301537,-77.0297564 -12.1298024)
6|8|9|239|0.185087679|SRID=4326;LINESTRING(-77.0297564 -12.1298024,-77.029655 -12.1286964)
7|9|10|239|0.153183350319|SRID=4326;LINESTRING(-77.029655 -12.1286964,-77.0295649 -12.1277816)
8|10|11|239|0.151720238529|SRID=4326;LINESTRING(-77.0295649 -12.1277816,-77.0294979 -12.1270083,-77.0295281 -12.126872)
10|12|13|294|1.23503805723|SRID=4326;LINESTRING(-77.0214035 -12.1326838,-77.0216867 -12.1321888,-77.0219528 -12.1315846,-77.0225934 -12.1296879,-77.0238927 -12.1256903)
11|13|14|294|1.07875005232|SRID=4326;LINESTRING(-77.0238927 -12.1256903,-77.0240165 -12.1253196,-77.024454 -12.1235039,-77.0247851 -12.1222925,-77.0249115 -12.1216441,-77.0251175 -12.1208889,-77.0253836 -12.1202427,-77.0255896 -12.1196301,-77.0256239 -12.1194455)
12|14|15|294|0.0336387271378|SRID=4326;LINESTRING(-77.0256239 -12.1194455,-77.025684 -12.1192525)
13|16|17|22|0.127327971878|SRID=4326;LINESTRING(-77.0289032 -12.1190346,-77.028942 -12.1187521,-77.0290071 -12.1182774)
14|17|18|22|0.0653930637208|SRID=4326;LINESTRING(-77.0290071 -12.1182774,-77.029064 -12.117889)
15|18|19|22|0.159265078491|SRID=4326;LINESTRING(-77.029064 -12.117889,-77.0292053 -12.1170654,-77.0292257 -12.1169466)
16|19|20|22|0.175213697708|SRID=4326;LINESTRING(-77.0292257 -12.1169466,-77.0292402 -12.1168614,-77.0294017 -12.1159095)
17|20|21|22|0.248550096887|SRID=4326;LINESTRING(-77.0294017 -12.1159095,-77.0295795 -12.1148232,-77.0296459 -12.1144374)
18|21|22|22|0.111491556482|SRID=4326;LINESTRING(-77.0296459 -12.1144374,-77.0297445 -12.1138644,-77.0297594 -12.1137777)
19|22|23|22|0.0140596035419|SRID=4326;LINESTRING(-77.0297594 -12.1137777,-77.0297916 -12.1136995)
21|24|25|285|0.0271574714343|SRID=4326;LINESTRING(-77.0289804 -12.1194347,-77.0288977 -12.1193548,-77.0288706 -12.1193127)
23|26|27|188|0.0494856981414|SRID=4326;LINESTRING(-77.0292457 -12.1193558,-77.0292779 -12.1195037,-77.0293294 -12.1196411)
24|27|28|188|0.239629366456|SRID=4326;LINESTRING(-77.0293294 -12.1196411,-77.0294042 -12.119745,-77.0294914 -12.119866,-77.0297022 -12.1201843,-77.0298321 -12.1203859,-77.0301601 -12.1208241)
25|28|29|188|0.28526994318|SRID=4326;LINESTRING(-77.0301601 -12.1208241,-77.0302747 -12.1209889,-77.0308192 -12.1217271,-77.0311724 -12.1222162)
26|29|30|188|0.0475381567566|SRID=4326;LINESTRING(-77.0311724 -12.1222162,-77.0312007 -12.1222604,-77.031327 -12.1224575)
27|30|31|188|0.108585955433|SRID=4326;LINESTRING(-77.031327 -12.1224575,-77.0317151 -12.1229121,-77.0317529 -12.1229564)
28|31|32|188|0.0234164430632|SRID=4326;LINESTRING(-77.0317529 -12.1229564,-77.0318411 -12.1230669)
29|32|33|188|0.15140606167|SRID=4326;LINESTRING(-77.0318411 -12.1230669,-77.0321385 -12.123438,-77.0323396 -12.1237498,-77.0323825 -12.1238028)
31|34|35|266|0.246840175877|SRID=4326;LINESTRING(-77.0515211 -12.1102338,-77.0515812 -12.1115766,-77.0514552 -12.1117138)
32|35|36|266|0.48541860108|SRID=4326;LINESTRING(-77.0514552 -12.1117138,-77.0512498 -12.1118019,-77.0508123 -12.1119519,-77.0507055 -12.1120122,-77.0499479 -12.1127782,-77.0496376 -12.1129093,-77.0491727 -12.1134086,-77.0491072 -12.1134881)
33|36|37|266|0.0596152936369|SRID=4326;LINESTRING(-77.0491072 -12.1134881,-77.0490587 -12.1136255,-77.0490532 -12.1138419)
34|37|38|266|0.171789342522|SRID=4326;LINESTRING(-77.0490532 -12.1138419,-77.0490337 -12.1146725,-77.0488471 -12.1148527)
35|38|39|266|0.177942037913|SRID=4326;LINESTRING(-77.0488471 -12.1148527,-77.0480908 -12.1156185)
36|39|40|266|0.161490208331|SRID=4326;LINESTRING(-77.0480908 -12.1156185,-77.0473904 -12.1162998)
37|40|41|266|0.166821731011|SRID=4326;LINESTRING(-77.0473904 -12.1162998,-77.0466939 -12.1170295)
38|41|42|266|0.0840091724223|SRID=4326;LINESTRING(-77.0466939 -12.1170295,-77.0466108 -12.1171147,-77.0464591 -12.1171274,-77.046186 -12.1170956)
39|42|43|266|0.100511151459|SRID=4326;LINESTRING(-77.046186 -12.1170956,-77.0459763 -12.1171211,-77.0458477 -12.1171991,-77.0457104 -12.1174761)
40|43|44|266|0.167915888635|SRID=4326;LINESTRING(-77.0457104 -12.1174761,-77.0456332 -12.1177614,-77.0456332 -12.1179712,-77.0454958 -12.1182565,-77.0452884 -12.1183942)
41|44|45|266|0.0848316199222|SRID=4326;LINESTRING(-77.0452884 -12.1183942,-77.0451439 -12.1184327,-77.0447759 -12.1184636)
42|45|46|266|0.0976908067911|SRID=4326;LINESTRING(-77.0447759 -12.1184636,-77.0442856 -12.1184831,-77.0441826 -12.1185167)
43|46|47|266|0.0266902977616|SRID=4326;LINESTRING(-77.0441826 -12.1185167,-77.044074 -12.118636)
45|33|48|19|0.129761662699|SRID=4326;LINESTRING(-77.0323825 -12.1238028,-77.0323128 -12.1238851,-77.0316671 -12.1241355)
46|48|49|19|0.152883574187|SRID=4326;LINESTRING(-77.0316671 -12.1241355,-77.0314505 -12.1241974,-77.0307532 -12.1243167)
47|49|50|19|0.096909773959|SRID=4326;LINESTRING(-77.0307532 -12.1243167,-77.0301716 -12.1244197)
48|50|51|19|0.128894098286|SRID=4326;LINESTRING(-77.0301716 -12.1244197,-77.0294858 -12.1245374,-77.0293974 -12.1245531)
49|51|52|19|0.243830647091|SRID=4326;LINESTRING(-77.0293974 -12.1245531,-77.0293105 -12.1245667,-77.027994 -12.1247672,-77.0279281 -12.1247772)
50|52|53|19|0.16988802734|SRID=4326;LINESTRING(-77.0279281 -12.1247772,-77.0278616 -12.1247877,-77.026963 -12.1249294,-77.0269052 -12.1249385)
51|53|54|19|0.15985234317|SRID=4326;LINESTRING(-77.0269052 -12.1249385,-77.0268389 -12.124949,-77.0259422 -12.125087)
52|54|55|19|0.249056902049|SRID=4326;LINESTRING(-77.0259422 -12.125087,-77.0245133 -12.1253334,-77.0244463 -12.125345)
54|56|57|301|0.024982461148|SRID=4326;LINESTRING(-77.0404219 -12.1189157,-77.0404198 -12.1190656)
56|58|59|300|0.0277262335196|SRID=4326;LINESTRING(-77.0430996 -12.1189144,-77.0430623 -12.118811,-77.0430286 -12.1187634)
58|60|61|48|0.133985481633|SRID=4326;LINESTRING(-77.0221376 -12.1210621,-77.0227939 -12.1205832)
59|61|62|48|0.214684661178|SRID=4326;LINESTRING(-77.0227939 -12.1205832,-77.0232791 -12.1202649,-77.0238698 -12.1198492)
61|25|63|48|0.112710082414|SRID=4326;LINESTRING(-77.0288706 -12.1193127,-77.0287724 -12.1192385,-77.028686 -12.1191765,-77.0284026 -12.119168,-77.0281999 -12.1191648)
63|64|65|48|0.285720511957|SRID=4326;LINESTRING(-77.0203093 -12.1221591,-77.0204764 -12.1218343,-77.02079 -12.1216495,-77.0213994 -12.1212551,-77.0216483 -12.1210621)
64|65|60|48|0.0802377807356|SRID=4326;LINESTRING(-77.0216483 -12.1210621,-77.0217857 -12.1210034,-77.0218801 -12.1210034,-77.0220088 -12.1210034,-77.0221376 -12.1210621)
66|66|67|48|0.140761199017|SRID=4326;LINESTRING(-77.0251693 -12.1192159,-77.02505 -12.1192527,-77.0244428 -12.1196658)
67|67|68|48|0.0680764016098|SRID=4326;LINESTRING(-77.0244428 -12.1196658,-77.0240953 -12.1198893)
69|69|70|133|0.165733772827|SRID=4326;LINESTRING(-77.0336086 -12.1261469,-77.0326766 -12.1265314)
70|70|71|133|0.110582894737|SRID=4326;LINESTRING(-77.0326766 -12.1265314,-77.0320532 -12.1267843)
71|71|72|133|0.184193316537|SRID=4326;LINESTRING(-77.0320532 -12.1267843,-77.0310165 -12.1272095)
72|72|73|133|0.240475502023|SRID=4326;LINESTRING(-77.0310165 -12.1272095,-77.0296553 -12.127746)
73|73|10|133|0.0159686528129|SRID=4326;LINESTRING(-77.0296553 -12.127746,-77.0295649 -12.1277816)
74|10|74|133|0.256906515477|SRID=4326;LINESTRING(-77.0295649 -12.1277816,-77.0281342 -12.1284094)
75|74|75|133|0.252147190103|SRID=4326;LINESTRING(-77.0281342 -12.1284094,-77.0267164 -12.1289946)
76|75|76|133|0.117938091416|SRID=4326;LINESTRING(-77.0267164 -12.1289946,-77.0260485 -12.1292569)
77|76|77|133|0.289376761623|SRID=4326;LINESTRING(-77.0260485 -12.1292569,-77.0244177 -12.1299198)
79|78|79|184|0.187046677476|SRID=4326;LINESTRING(-77.0288638 -12.1290052,-77.0289839 -12.1301212)
80|79|80|184|0.164767065593|SRID=4326;LINESTRING(-77.0289839 -12.1301212,-77.0290383 -12.1311083)
81|80|81|184|0.166845972009|SRID=4326;LINESTRING(-77.0290383 -12.1311083,-77.0290944 -12.1318307,-77.0291281 -12.1321054)
82|81|82|184|0.0160787463225|SRID=4326;LINESTRING(-77.0291281 -12.1321054,-77.0291317 -12.1322018)
84|83|84|1|0.0160490821514|SRID=4326;LINESTRING(-77.0236912 -12.1292875,-77.023666 -12.129245,-77.0236598 -12.1291963)
86|85|86|141|0.100844294504|SRID=4326;LINESTRING(-77.0340994 -12.129987,-77.0338334 -12.1294415)
87|86|87|141|0.0743684324506|SRID=4326;LINESTRING(-77.0338334 -12.1294415,-77.0336789 -12.129022)
88|87|88|141|0.124276044944|SRID=4326;LINESTRING(-77.0336789 -12.129022,-77.0336617 -12.1289968,-77.033387 -12.1283339)
89|88|89|141|0.165838413861|SRID=4326;LINESTRING(-77.033387 -12.1283339,-77.0330172 -12.1274078)
90|89|70|141|0.156381903273|SRID=4326;LINESTRING(-77.0330172 -12.1274078,-77.0326766 -12.1265314)
91|70|90|141|0.141017671832|SRID=4326;LINESTRING(-77.0326766 -12.1265314,-77.0323475 -12.1257497)
