1337611|Parque Las Naciones Unidas|SRID=4326;POLYGON ((-77.0459336 -12.1110244,-77.0459765 -12.1111555,-77.0455045 -12.1115594,-77.0457351 -12.1117954,-77.0456278 -12.1119003,-77.0453864 -12.1117062,-77.0450753 -12.1120314,-77.0449895 -12.1120262,-77.0445389 -12.1116066,-77.044217 -12.1118845,-77.0440882 -12.1117482,-77.0443565 -12.1114387,-77.0439327 -12.1110453,-77.0440239 -12.1110034,-77.0448446 -12.1110191,-77.0448714 -12.110631,-77.0451343 -12.1106205,-77.0451075 -12.1110244,-77.0459336 -12.1110244))
1798523|Parque Blume|SRID=4326;POLYGON ((-77.0444208 -12.1126818,-77.0442331 -12.1128601,-77.0445496 -12.1131486,-77.0444852 -12.1132115,-77.0441473 -12.112944,-77.0439434 -12.1131381,-77.0434499 -12.112687,-77.0431924 -12.1129388,-77.0429939 -12.1127605,-77.0432568 -12.1125087,-77.042731 -12.1120104,-77.0432407 -12.1115384,-77.0433748 -12.1116747,-77.0436001 -12.1114545,-77.0437288 -12.1115436,-77.0434928 -12.1117954,-77.0441365 -12.112409,-77.0443833 -12.1121783,-77.0445067 -12.1122937,-77.0442384 -12.1125297,-77.0444208 -12.1126818))
1798524|Parque Villena|SRID=4326;POLYGON ((-77.043364 -12.1137255,-77.0428813 -12.1142395,-77.042318 -12.1137255,-77.0420766 -12.1139458,-77.0418888 -12.1138042,-77.0421249 -12.1135525,-77.0416313 -12.1130909,-77.0421624 -12.1125716,-77.0423126 -12.112708,-77.0425326 -12.112493,-77.0426559 -12.1125979,-77.0424306 -12.1128444,-77.0430797 -12.1134266,-77.0432997 -12.1132325,-77.0434284 -12.1133427,-77.0431978 -12.1135629,-77.043364 -12.1137255))
3891657|Parque Correa Elias|SRID=4326;POLYGON ((-77.042323 -12.114754,-77.041996 -12.11446,-77.041385 -12.115068,-77.041524 -12.115247,-77.041669 -12.11543,-77.042323 -12.114754))
1798530|Colegio San Silvestre|SRID=4326;POLYGON ((-77.0413229 -12.11607,-77.0413363 -12.1160386,-77.0403787 -12.1148086,-77.0403385 -12.1148086,-77.039676 -12.1153174,-77.0396733 -12.1153593,-77.0402366 -12.1160648,-77.0402688 -12.1160805,-77.0413229 -12.11607))
7891425|Malecón de la Marina|SRID=4326;POLYGON ((-77.044576 -12.119484,-77.044973 -12.11897,-77.04536 -12.118949,-77.045478 -12.118551,-77.045918 -12.118456,-77.0461 -12.117859,-77.04714 -12.117528,-77.047301 -12.117182,-77.047537 -12.117045,-77.047805 -12.117276,-77.048116 -12.117182,-77.048277 -12.116783,-77.048288 -12.116584,-77.048567 -12.116416,-77.04905 -12.115934,-77.049286 -12.11586,-77.049361 -12.115147,-77.049693 -12.115042,-77.049629 -12.114601,-77.049683 -12.114098,-77.049779 -12.113668,-77.050208 -12.113185,-77.050455 -12.11308,-77.050541 -12.112671,-77.050874 -12.112482,-77.051099 -12.112105,-77.051507 -12.112063,-77.051625 -12.111884,-77.052075 -12.111685,-77.052107 -12.111339,-77.051485 -12.111381,-77.051507 -12.11158,-77.051399 -12.111738,-77.050734 -12.111958,-77.050005 -12.112734,-77.049608 -12.112891,-77.048824 -12.113741,-77.048996 -12.113846,-77.048975 -12.114685,-77.046561 -12.117119,-77.046036 -12.116998,-77.045681 -12.116747,-77.045285 -12.117103,-77.045639 -12.117407,-77.045306 -12.117838,-77.045553 -12.118026,-77.045274 -12.118373,-77.043911 -12.118509,-77.043718 -12.118876,-77.04375 -12.119348,-77.044576 -12.119484))
29244644|Museo de la Memoria|SRID=4326;POLYGON ((-77.0544094 -12.1098298,-77.0536422 -12.1097354,-77.0534652 -12.1096672,-77.0533982 -12.1096043,-77.0533284 -12.1096489,-77.0534062 -12.1099413,-77.0535618 -12.1101209,-77.0537549 -12.110252,-77.0538112 -12.1103412,-77.0538997 -12.1105458,-77.0539427 -12.1105903,-77.0544845 -12.1101367,-77.0545005 -12.1099767,-77.0544094 -12.1098298))
1780696|Estadio Niño Heroe Bonilla|SRID=4326;POLYGON ((-77.0533821 -12.1105366,-77.0533982 -12.1104789,-77.053366 -12.1103294,-77.0534277 -12.1101878,-77.0533338 -12.1100199,-77.053315 -12.1096528,-77.0533633 -12.109603,-77.0531461 -12.109165,-77.0530388 -12.1090732,-77.0528376 -12.1090863,-77.0516816 -12.1102533,-77.0516387 -12.1103399,-77.0516896 -12.1113417,-77.0521241 -12.1112892,-77.05258 -12.110783,-77.0529664 -12.110707,-77.0531166 -12.1106415,-77.0532292 -12.1105523,-77.0533821 -12.1105366))
2181574|Skate Park|SRID=4326;POLYGON ((-77.0468267 -12.1171203,-77.0470359 -12.1174979,-77.046926 -12.1175582,-77.0467785 -12.1175792,-77.0463815 -12.1176815,-77.046242 -12.1177444,-77.046124 -12.1178152,-77.0459979 -12.1179463,-77.045845 -12.1178624,-77.0459148 -12.1177628,-77.046006 -12.1173563,-77.046073 -12.1172409,-77.0462072 -12.1172029,-77.0467275 -12.1172082,-77.0468267 -12.1171203))
1798540|Embajada de Brasil|SRID=4326;POLYGON ((-77.0380774 -12.1188525,-77.0380614 -12.1180107,-77.0380211 -12.1179713,-77.0371709 -12.1179871,-77.0371494 -12.1180054,-77.0371575 -12.1188603,-77.0372057 -12.1189075,-77.0380426 -12.1188971,-77.0380774 -12.1188525))
